run_id,roc_auc,average_precision,accuracy,precision,recall,f1,cm,data,C
dc60935a-2113-4cb0-8cbd-eae1964711dc,0.8192103276694458,0.75643976991039,0.7532089552238806,0.7445932859909619,0.6439163962455076,0.6906049435847538,"[[32011  6330]
 [10205 18454]]",train,0.001
dc60935a-2113-4cb0-8cbd-eae1964711dc,0.8200313454545386,0.7544153555644639,0.749030303030303,0.7386856534904657,0.6394615657102374,0.685501632870054,"[[15692  3193]
 [ 5089  9026]]",test,0.001
503bbb58-9bc1-4b94-822a-9ad4a603b1b5,0.825440006687788,0.7655911640795543,0.7642537313432836,0.7281660163178432,0.716249694685788,0.7221587011205122,"[[30678  7663]
 [ 8132 20527]]",train,0.01
503bbb58-9bc1-4b94-822a-9ad4a603b1b5,0.8268775408627137,0.7653545684863521,0.7630606060606061,0.726409666283084,0.7155508324477506,0.7209393625753953,"[[15081  3804]
 [ 4015 10100]]",test,0.01
35d39f61-4770-4ae1-a9b3-fcdf991473b3,0.8252840850414563,0.766420638504018,0.7659850746268657,0.7225498936972773,0.7352315154052828,0.7288355441794503,"[[30250  8091]
 [ 7588 21071]]",train,0.1
35d39f61-4770-4ae1-a9b3-fcdf991473b3,0.8268411215373999,0.7664165861744061,0.7653939393939394,0.7221951049438672,0.7337584130357775,0.7279308405960079,"[[14901  3984]
 [ 3758 10357]]",test,0.1
2f958bbb-fcc7-4d05-881e-bd94d4e27fac,0.8252375676449233,0.7665451239679074,0.7663134328358209,0.7224541472762114,0.7366970236225967,0.729506072594717,"[[30230  8111]
 [ 7546 21113]]",train,1.0
2f958bbb-fcc7-4d05-881e-bd94d4e27fac,0.8268937022196825,0.766638443896059,0.7653636363636364,0.721989966555184,0.7341126461211477,0.7280008430814627,"[[14895  3990]
 [ 3753 10362]]",test,1.0
18b25bda-be52-4b86-9c31-513e9b0faa20,0.8252324020788805,0.7665506841336935,0.7662537313432836,0.722446604600219,0.7364876653058376,0.7293995680345573,"[[30232  8109]
 [ 7552 21107]]",train,10.0
18b25bda-be52-4b86-9c31-513e9b0faa20,0.8268935071429503,0.7666485048999263,0.7653333333333333,0.7219396641817042,0.7341126461211477,0.7279752704791345,"[[14894  3991]
 [ 3753 10362]]",test,10.0
4135f37f-0c07-46f9-a7c6-7ad5b50341eb,0.8252318842481761,0.7665518096045671,0.7662537313432836,0.7224618333675635,0.7364527722530444,0.7293902165085618,"[[30233  8108]
 [ 7553 21106]]",train,100.0
4135f37f-0c07-46f9-a7c6-7ad5b50341eb,0.8268939873318296,0.7666502954729207,0.7653636363636364,0.7219590358088338,0.7341834927382217,0.7280199515262215,"[[14894  3991]
 [ 3752 10363]]",test,100.0
c2862d13-9c63-439e-8e40-932d75a0bd4e,0.8252317814100923,0.7665517447386639,0.7662537313432836,0.7224618333675635,0.7364527722530444,0.7293902165085618,"[[30233  8108]
 [ 7553 21106]]",train,1000.0
c2862d13-9c63-439e-8e40-932d75a0bd4e,0.8268939985862563,0.7666503015455887,0.7653636363636364,0.7219590358088338,0.7341834927382217,0.7280199515262215,"[[14894  3991]
 [ 3752 10363]]",test,1000.0
